"Refactored","ProjectName","ClassName","Signature","LOC","statementsCount","cyclomaticComplexity","cognitiveComplexity","halsteadComplexityEffort","halsteadComplexityDifficulty","halstedComplexityVolume","halsteadEstimatedProgramLength","halsteadProgramLength","halstedVocabulary","nestingDepth","numberOfBranchesAndDecisionPoint","parameterCount","codeSmell","buggy"
"Yes","BOOKKEEPER","SessionImpl","public void registerQueueSubscriptionInfo(QueueSubscription queueSubscription,Node selectorAst)","3","3","1","0","19.651484454403228","1.0","19.651484454403228","13.60964047443681","7","7","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","protected QueueSender createSenderImpl(Queue queue)","3","2","1","0","36.0","1.5","24.0","16.36452797660028","8","8","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public StreamMessage createStreamMessage(void)","5","3","2","1","194.17510102493776","3.0","64.72503367497926","39.50977500432694","17","14","1","1","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","private void enqueueReceiveWithinTransaction(TransactedReceiveOperation receiveOperation)","5","2","1","0","15.509775004326936","1.0","15.509775004326936","10.0","6","6","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public MessageConsumer createConsumer(Destination destination,String messageSelector)","8","8","3","2","516.1048859969566","3.7333333333333334","138.24238017775622","78.25484338853101","31","22","1","2","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","private void doHandleAutomaticMessageAcknowledgement(TransactedReceiveOperation receiveOperation)","21","14","8","11","1627.3536051395308","7.125","228.40050598449557","71.5488750216347","52","21","3","7","1","1","false"
"Yes","BOOKKEEPER","SessionImpl","public TopicSubscriber createDurableSubscriber(Topic topic,String subscribedId,String messageSelector,boolean noLocal)","13","13","4","3","1082.338092993015","4.605263157894737","235.02198590705464","100.36210720983135","50","26","1","3","4","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public void registerSubscriberIdToTopic(String subscribedId,String topicName)","10","6","3","2","1193.142857142857","10.285714285714285","116.0","48.18080946738404","29","16","1","2","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public QueueBrowser createBrowser(Queue queue,String messageSelector)","6","5","2","1","257.51015899877143","3.0","85.83671966625714","53.563522809337215","21","17","1","1","2","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public Set<MessageConsumer> getAllConsumersSet(void)","3","1","1","0","4.0","0.5","8.0","4.754887502163469","4","4","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.TopicSubscription","public int hashCode(void)","6","3","1","0","217.94419197414973","4.199999999999999","51.89147427955947","27.11941547876375","15","11","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void unsubscribe(String subscribedId)","7","5","2","1","295.45454545454544","2.9545454545454546","100.0","49.663388279447084","25","16","1","1","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","private void unregisterSubscriber(MessageConsumer subscriber,MessagingSessionFacade.DestinationType type,final String destination,final String subscriberId)","27","16","7","9","2143.075423585124","8.285714285714286","258.64703388096325","77.30296890880645","58","22","2","6","4","0","false"
"Yes","BOOKKEEPER","SessionImpl.QueueSubscription","public boolean equals(Object o)","12","11","6","5","1262.0206467212397","6.909090909090909","182.66088307807416","62.053747805010275","43","19","1","5","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public boolean isMessageExpired(MessageImpl message)","3","2","2","1","186.85845533741414","3.75","49.82892142331044","23.509775004326936","15","10","0","1","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void <init>(ConnectionImpl connection,boolean transacted,int acknowledgeMode)","18","12","5","5","2959.9477368705057","11.25","263.1064654996005","76.23883095752751","59","22","2","4","3","0","false"
"Yes","BOOKKEEPER","SessionImpl.QueueSubscription","public void <init>(String queueName,String subscriberId)","8","6","3","2","754.5880121803882","7.428571428571429","101.57915548582149","43.65148445440323","26","15","1","2","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","protected QueueReceiver createReceiverImpl(Queue queue,String messageSelector)","3","3","1","0","49.82892142331043","1.5","33.219280948873624","24.406371956566698","10","10","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void unregisterTopicSubscriber(TopicSubscriber topicSubscriber)","4","2","1","0","68.0","1.3333333333333333","51.0","17.509775004326936","17","8","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void registerTopicSubscriptionInfo(TopicSubscription topicSubscription,Node selectorAst)","3","3","1","0","19.651484454403228","1.0","19.651484454403228","13.60964047443681","7","7","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public String createSubscriberId(final String subscribedId)","13","9","1","0","466.0202424598507","3.6","129.45006734995852","41.219280948873624","34","14","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","private boolean handleRollbackInDispatch(List<TransactedReceiveOperation> rolledbackMessageListCopy)","25","20","8","10","3805.475995807028","11.733333333333333","324.3303405517354","96.65710673913806","69","26","2","7","1","3","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedReceiveOperation","public void rollback(void)","33","12","5","7","1754.4746676979453","5.638888888888889","311.1383647149065","94.71013448036484","67","25","3","4","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","private MessageConsumer createConsumerImpl(MessagingSessionFacade.DestinationType type,Destination destination,String messageSelector,boolean noLocal)","12","8","4","1","891.8863237274595","5.714285714285714","156.0801066523054","77.30296890880645","35","22","1","3","4","0","false"
"Yes","BOOKKEEPER","SessionImpl","public TemporaryTopic createTemporaryTopic(void)","6","3","2","1","188.72242562519568","3.0","62.907475208398566","35.161259458730164","17","13","1","1","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedReceiveOperation","public boolean requiresStartedSession(void)","4","1","1","0","2.3774437510817346","0.5","4.754887502163469","2.0","3","3","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.ReceivedMessage","public String toString(void)","10","7","1","0","456.0","3.0","152.0","51.01955000865388","38","16","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public String findTopicNameForSubscriberId(String subscribedId)","9","5","2","1","609.1767875292167","8.0","76.14709844115208","39.50977500432694","20","14","1","1","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public MessageProducer createProducer(Destination destination)","7","5","2","1","321.05162680366305","3.2727272727272725","98.09910819000817","53.563522809337215","24","17","1","1","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public static Queue asQueue(final String queueName)","13","4","1","0","78.60593781761291","2.0","39.302968908806456","13.60964047443681","14","7","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public ObjectMessage createObjectMessage(void)","5","3","2","1","194.17510102493776","3.0","64.72503367497926","39.50977500432694","17","14","1","1","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.TopicSubscription","public void <init>(String topicName,String subscriberId)","8","6","3","2","754.5880121803882","7.428571428571429","101.57915548582149","43.65148445440323","26","15","1","2","2","0","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedReceiveOperation","public void recoverForListener(void)","18","9","3","3","922.3866587835397","5.0","184.47733175670794","72.95445336320968","42","21","2","2","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public Queue createQueue(String queueName)","6","4","2","1","290.40000000000003","3.3000000000000003","88.0","48.72905595320056","22","16","1","1","1","0","false"
"Yes","BOOKKEEPER","SessionImpl.ReceivedMessage","private void <init>(MessageImpl originalMessage,MessageImpl msg,MessagingSessionFacade.DestinationType destinationType)","6","6","1","0","72.0","1.5","48.0","17.509775004326936","16","8","0","0","3","1","false"
"Yes","BOOKKEEPER","SessionImpl","public MessageListener getMessageListener(void)","4","1","1","0","4.0","0.5","8.0","4.754887502163469","4","4","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public String toName(Destination destination)","6","6","3","2","646.1020322487587","6.125","105.48604608143","43.65148445440323","27","15","1","2","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void run(void)","70","40","21","40","22228.883378524355","18.05128205128205","1231.4296189807526","270.13068653562766","213","55","4","20","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void close(void)","89","51","20","40","23636.172814138354","19.31707317073171","1223.589754267263","294.718282215303","208","59","5","19","0","1","false"
"Yes","BOOKKEEPER","SessionImpl","public MessageConsumer createConsumer(Destination destination)","8","7","3","2","541.0721518791679","4.038461538461538","133.97977094150824","67.75720079023742","31","20","1","2","1","0","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedSendOperation","public void commit(void)","6","4","2","2","170.8832125343751","2.1666666666666665","78.86917501586544","33.28421251514428","22","12","1","1","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public Map<Subscription, CopyOnWriteArrayList<MessageConsumer>> createSubscriptionToSubscriberMapCopy(void)","7","4","1","0","350.43008444549304","4.25","82.4541375165866","32.0","23","12","0","0","0","3","false"
"Yes","BOOKKEEPER","SessionImpl","public TextMessage createTextMessage(String payload)","5","4","2","1","228.0","3.0","76.0","48.72905595320056","19","16","1","1","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void stopTopicDelivery(String topicName,String subscribedId)","3","3","1","0","26.950607251753","1.2","22.458839376460833","13.60964047443681","8","7","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void stopQueueDelivery(String queueName,String subscribedId)","3","3","1","0","26.950607251753","1.2","22.458839376460833","13.60964047443681","8","7","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedReceiveOperation","private void <init>(ReceivedMessage receivedMessage,MessageConsumer subscriber)","5","5","1","0","51.0938595814484","1.4","36.49561398674886","13.60964047443681","13","7","0","0","2","1","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public boolean addToSubscribers(MessageConsumer subscriber,MessagingSessionFacade.DestinationType type,String destination,String subscriberId)","15","8","4","1","907.822575142789","5.5","165.05865002596164","88.0","36","24","1","3","4","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void handleAutomaticMessageAcknowledgement(ReceivedMessage receivedMessage,MessageListener sessionMessageListener)","5","3","1","0","24.0","1.0","24.0","17.509775004326936","8","8","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void subscriberCreated(void)","3","0","1","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.QueueSubscription","public boolean isQueue(void)","1","1","1","0","1.0","0.5","2.0","0.0","2","2","0","0","0","1","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public Node getSelectorExpression(Subscription subscription)","11","8","3","2","700.0000000000001","5.833333333333334","120.0","48.18080946738404","30","16","1","2","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void acknowledge(MessageImpl message)","9","8","4","3","386.26523849815715","3.5","110.36149671375918","52.87076540327685","27","17","1","3","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public Subscription createSubscription(MessagingSessionFacade.DestinationType type,String name,String subscriberId)","12","7","4","1","790.6171361001769","5.0","158.12342722003538","72.95445336320968","36","21","1","3","3","0","false"
"Yes","BOOKKEEPER","SessionImpl","public static Topic asTopic(final String topicName)","13","4","1","0","78.60593781761291","2.0","39.302968908806456","13.60964047443681","14","7","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","protected TopicSubscriber createSubscriberImpl(Topic topic,String messageSelector,boolean noLocal)","10","9","3","2","601.4286776335501","3.966666666666667","151.6206750336681","78.25484338853101","34","22","1","2","3","0","false"
"Yes","BOOKKEEPER","SessionImpl","public TopicSubscriber createDurableSubscriber(Topic topic,String subscribedId)","11","11","4","3","976.0576053005805","4.529411764705882","215.4932375338944","89.13835275565901","47","24","1","3","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public MessageConsumer createConsumer(Destination destination,String messageSelector,boolean noLocal)","10","9","3","2","605.5918568671326","3.9375","153.80110650593844","83.65148445440323","34","23","1","2","3","0","false"
"Yes","BOOKKEEPER","SessionImpl","public Topic createTopic(String topicName)","8","7","3","2","558.5260922623669","4.038461538461538","138.3016990363956","67.75720079023742","32","20","1","2","1","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public boolean addToSubscriberSet(MessageConsumer consumer)","3","2","1","0","23.264662506490403","1.5","15.509775004326936","9.509775004326938","6","6","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public TextMessage createTextMessage(void)","5","3","2","1","194.17510102493776","3.0","64.72503367497926","39.50977500432694","17","14","1","1","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void registerQueueSubscriber(QueueReceiver queueReceiver)","4","2","1","0","68.0","1.3333333333333333","51.0","17.509775004326936","17","8","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedReceiveOperation","private void <init>(ReceivedMessage receivedMessage,MessageListener sessionMessageListener)","5","5","1","0","51.0938595814484","1.4","36.49561398674886","13.60964047443681","13","7","0","0","2","1","false"
"Yes","BOOKKEEPER","SessionImpl","public MapMessage createMapMessage(void)","5","3","2","1","194.17510102493776","3.0","64.72503367497926","39.50977500432694","17","14","1","1","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void recover(void)","8","5","3","2","289.09685297977285","3.125","92.5109929535273","35.60964047443681","25","13","1","2","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","private void rollbackTransactionState(ArrayList<TransactedOperation> transactedOperationCopy)","13","11","4","3","1391.6608465537308","7.0","198.80869236481868","67.01955000865388","46","20","1","3","1","1","false"
"Yes","BOOKKEEPER","SessionImpl","protected TopicSubscriber createSubscriberImpl(Topic topic)","7","7","3","2","537.7168244100673","4.083333333333334","131.68575291675114","62.67103446305711","31","19","1","2","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","private void rollbackTransactionState(void)","8","4","1","0","166.09640474436813","3.3333333333333335","49.82892142331044","23.509775004326936","15","10","0","0","0","1","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedSendOperation","public String toString(void)","10","7","1","0","489.8667005129254","2.923076923076923","167.58597649126395","56.105716335834195","41","17","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public boolean removeSubscriber(MessageConsumer subscriber,MessagingSessionFacade.DestinationType type,String destination,String subscriberId)","41","24","10","21","5024.21654288102","12.0","418.68471190675166","135.25821588700785","83","33","4","9","4","2","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedSendOperation","public void rollback(void)","3","0","1","0","0.0","0.0","0.0","0.0","0","0","0","0","0","1","false"
"Yes","BOOKKEEPER","SessionImpl","public int getAcknowledgeMode(void)","4","1","1","0","2.3774437510817346","0.5","4.754887502163469","2.0","3","3","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.QueueSubscription","public boolean isTopic(void)","1","1","1","0","1.0","0.5","2.0","0.0","2","2","0","0","0","1","false"
"Yes","BOOKKEEPER","SessionImpl","private void deliverToListener(MessageListener sessionMessageListener,ReceivedMessage receivedMessage,MessageImpl theMessage,boolean redelivery)","51","30","15","24","8149.125444510905","14.267857142857142","571.1527220182862","204.09280611886868","104","45","3","14","4","3","false"
"Yes","BOOKKEEPER","SessionImpl","private void commitTransactionState(void)","28","19","7","12","3242.8332764754864","11.0","294.8030251341351","102.05374780501027","62","27","3","6","0","1","false"
"Yes","BOOKKEEPER","SessionImpl","public MessagingSessionFacade.DestinationType findDestinationType(Destination destination)","3","2","1","0","40.5","1.5","27.0","16.36452797660028","9","8","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void rollback(void)","8","7","4","3","546.9646833851926","4.0","136.74117084629816","44.039100017307746","35","15","1","3","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.TopicSubscription","public String toString(void)","9","6","1","0","446.8062153886833","3.090909090909091","144.5549520375152","46.053747805010275","37","15","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public CopyOnWriteArrayList<? extends MessageConsumer> getSubscribers(Subscription subscription)","11","8","3","2","709.583549241059","5.6000000000000005","126.71134807876054","52.87076540327685","31","17","1","2","1","2","false"
"Yes","BOOKKEEPER","SessionImpl","public void registerTopicSubscriber(TopicSubscriber topicSubscriber)","4","2","1","0","68.0","1.3333333333333333","51.0","17.509775004326936","17","8","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedSendOperation","public boolean requiresStartedSession(void)","4","1","1","0","2.3774437510817346","0.5","4.754887502163469","2.0","3","3","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","void stop(void)","80","48","16","31","16741.165275102423","15.09090909090909","1109.3543254585943","209.48455594748285","202","45","4","15","0","2","false"
"Yes","BOOKKEEPER","SessionImpl","public void unregisterQueueReceiver(QueueReceiver queueReceiver)","4","2","1","0","68.0","1.3333333333333333","51.0","17.509775004326936","17","8","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void messageReceived(final MessageImpl msg,MessagingSessionFacade.DestinationType type)","21","14","6","5","2392.109165359153","7.5","318.9478887145537","119.65784284662087","65","30","1","5","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public Destination getDestination(final MessagingSessionFacade.DestinationType type,final String destination)","12","6","4","1","691.5084951819779","5.333333333333333","129.65784284662087","67.01955000865388","30","20","1","3","2","0","false"
"Yes","BOOKKEEPER","SessionImpl.TopicSubscription","public boolean equals(Object o)","12","11","6","5","1262.0206467212397","6.909090909090909","182.66088307807416","62.053747805010275","43","19","1","5","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public static long currentTimeMillis(void)","3","1","1","0","12.0","1.5","8.0","4.754887502163469","4","4","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","void start(void)","128","59","21","44","25004.994108228762","18.2","1373.9007751774045","227.630621928908","246","48","4","20","0","2","false"
"Yes","BOOKKEEPER","SessionImpl","public void handleAutomaticMessageAcknowledgement(ReceivedMessage receivedMessage,MessageConsumer subscriber)","3","3","1","0","24.0","1.0","24.0","17.509775004326936","8","8","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","protected void finalize(void)","8","5","3","3","158.14544542341932","2.2857142857142856","69.18863237274596","27.651484454403228","20","11","2","2","0","1","false"
"Yes","BOOKKEEPER","SessionImpl.QueueSubscription","public int hashCode(void)","6","3","1","0","217.94419197414973","4.199999999999999","51.89147427955947","27.11941547876375","15","11","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void unsubscribeFromTopic(String topicName,String subscribedId)","3","3","1","0","26.950607251753","1.2","22.458839376460833","13.60964047443681","8","7","0","0","2","0","false"
"Yes","BOOKKEEPER","SessionImpl.TopicSubscription","public boolean isTopic(void)","1","1","1","0","1.0","0.5","2.0","0.0","2","2","0","0","0","1","false"
"Yes","BOOKKEEPER","SessionImpl","private boolean getNoLocal(Subscription subscription,MessageConsumer subscriber)","6","5","2","1","96.86408532184434","2.0","48.43204266092217","27.651484454403228","14","11","1","1","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","private void registerSubscriber(MessageConsumer subscriber,MessagingSessionFacade.DestinationType type,final String destination,final String subscriberId)","85","51","23","43","35368.769665281274","23.02857142857143","1535.8646876983182","227.630621928908","275","48","4","22","4","2","false"
"Yes","BOOKKEEPER","SessionImpl","protected TopicPublisher createPublisherImpl(Topic topic)","7","7","3","2","537.7168244100673","4.083333333333334","131.68575291675114","62.67103446305711","31","19","1","2","1","1","false"
"Yes","BOOKKEEPER","SessionImpl","private MessageConsumer createConsumerImpl(MessagingSessionFacade.DestinationType type,Destination destination)","12","6","4","1","695.1154112907684","5.454545454545454","127.43782540330756","62.053747805010275","30","19","1","3","2","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void addToLocallyPublishedMessageIds(String messageId)","3","2","1","0","11.60964047443681","1.0","11.60964047443681","6.754887502163469","5","5","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public boolean isClosed(void)","3","1","1","0","12.0","1.5","8.0","4.754887502163469","4","4","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public ObjectMessage createObjectMessage(Serializable serializable)","5","4","2","1","228.0","3.0","76.0","48.72905595320056","19","16","1","1","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","protected QueueReceiver createReceiverImpl(Queue queue)","3","2","1","0","36.0","1.5","24.0","16.36452797660028","8","8","0","0","1","0","false"
"Yes","BOOKKEEPER","SessionImpl","public TemporaryQueue createTemporaryQueue(void)","6","3","2","1","188.72242562519568","3.0","62.907475208398566","35.161259458730164","17","13","1","1","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public void setMessageListener(final MessageListener messageListener)","11","6","4","3","708.4935591500589","5.777777777777778","122.6238852375102","52.52932501298081","30","17","1","3","1","0","false"
"Yes","BOOKKEEPER","SessionImpl.Subscriptions","public int getNumSubscribers(void)","3","1","1","0","12.0","1.5","8.0","4.754887502163469","4","4","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl","public BytesMessage createBytesMessage(void)","5","3","2","1","194.17510102493776","3.0","64.72503367497926","39.50977500432694","17","14","1","1","0","1","false"
"Yes","BOOKKEEPER","SessionImpl","public static String generateRandomString(void)","4","1","1","0","24.380244996317302","1.5","16.253496664211536","6.754887502163469","7","5","0","0","0","0","false"
"Yes","BOOKKEEPER","SessionImpl.TransactedReceiveOperation","public void commit(void)","10","5","3","3","204.8550000412089","2.8571428571428568","71.69925001442313","31.26112492884004","20","12","2","2","0","1","false"
"No","BOOKKEEPER","ReadEntryProcessor","public void <init>(Request request,Channel channel,BookieRequestProcessor requestProcessor)","4","4","1","0","12.0","0.5","24.0","19.651484454403228","8","8","0","0","3","0","false"
"No","BOOKKEEPER","ReadEntryProcessor","protected void processPacket(void)","90","62","17","28","30371.0077292747","18.714285714285715","1622.8782756100984","269.4968817653618","282","54","2","16","0","17","false"
